#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A4216E
#Date Time: 2020-04-24 14:11:29.461
#Sample rate: 800Hz
#Samples: 7505
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: -200 mV

Time (s),Channel 1 (V)
2.69625,0.0393326
2.6975,0.0389988
2.69875,0.0393326
2.7,0.0406677
2.70125,0.0420029
2.7025,0.0396663
2.70375,0.0379974
2.705,0.036996
2.70625,0.0383312
2.7075,0.038665
2.70875,0.0379974
2.71,0.0366622
2.71125,0.036996
2.7125,0.0379974
2.71375,0.0403339
2.715,0.0403339
2.71625,0.0393326
2.7175,0.0389988
2.71875,0.0393326
2.72,0.0406677
2.72125,0.0420029
2.7225,0.0396663
2.72375,0.0379974
2.725,0.036996
2.72625,0.0383312
2.7275,0.038665
2.72875,0.0379974
2.73,0.0400001
2.73125,0.0490127
2.7325,0.0496803
2.73375,0.0707097
2.735,0.139806
2.73625,0.332074
2.7375,0.115439
2.73875,0.116774
2.74,0.115439
2.74125,0.11644
2.7425,0.107761
2.74375,0.107428
2.745,0.124118
2.74625,0.118109
2.7475,0.11377
2.74875,0.112768
2.75,0.111433
2.75125,0.111767
2.7525,0.112768
2.75375,0.115105
2.755,0.115105
2.75625,0.114437
2.7575,0.114104
2.75875,0.114104
2.76,0.115439
2.76125,0.116774
2.7625,0.114771
2.76375,0.113102
2.765,0.112101
2.76625,0.113436
2.7675,0.11377
2.76875,0.113102
2.77,0.111433
2.77125,0.112101
2.7725,0.112768
2.77375,0.115439
2.775,0.115105
2.77625,0.114104
2.7775,0.114104
2.77875,0.114104
2.78,0.117442
2.78125,0.117108
2.7825,0.114771
2.78375,0.113102
2.785,0.113102
2.78625,0.113436
2.7875,0.127789
2.78875,0.0383312
2.79,0.0366622
2.79125,0.036996
2.7925,0.0379974
2.79375,0.0403339
2.795,0.0403339
2.79625,0.0393326
2.7975,0.0393326
2.79875,0.0393326
2.8,0.0403339
2.80125,0.0420029
2.8025,0.0400001
2.80375,0.0379974
2.805,0.0373298
2.80625,0.0383312
2.8075,0.038665
2.80875,0.0383312
2.81,0.0366622
2.81125,0.036996
2.8125,0.0379974
2.81375,0.0403339
2.815,0.0403339
2.81625,0.0393326
2.8175,0.0389988
2.81875,0.0389988
2.82,0.0403339
2.82125,0.0420029
2.8225,0.0400001
2.82375,0.0379974
2.825,0.0373298
2.82625,0.0383312
2.8275,0.0389988
2.82875,0.0383312
2.83,0.0366622
2.83125,0.036996
2.8325,0.0376636
2.83375,0.0403339
2.835,0.0403339
2.83625,0.0393326
2.8375,0.0389988
2.83875,0.0389988
2.84,0.0403339
2.84125,0.0630323
2.8425,0.111433
2.84375,0.111767
2.845,0.105425
2.84625,0.108429
2.8475,0.118777
2.84875,0.111767
2.85,0.111099
2.85125,0.111433
2.8525,0.112101
2.85375,0.114771
2.855,0.114771
2.85625,0.114771
2.8575,0.114437
2.85875,0.114437
2.86,0.115773
2.86125,0.117442
2.8625,0.115105
2.86375,0.113436
2.865,0.112435
2.86625,0.113436
2.8675,0.114104
2.86875,0.113436
2.87,0.111767
2.87125,0.112101
2.8725,0.112768
2.87375,0.115439
2.875,0.115439
2.87625,0.114771
2.8775,0.114437
2.87875,0.114437
2.88,0.117775
2.88125,0.117442
2.8825,0.115105
2.88375,0.113436
2.885,0.113102
2.88625,0.113436
2.8875,0.114104
2.88875,0.113436
2.89,0.111767
2.89125,0.112101
2.8925,0.113102
2.89375,0.115439
2.895,0.114104
2.89625,0.107428
2.8975,0.108429
2.89875,0.114104
2.9,0.115439
2.90125,0.117108
2.9025,0.115105
2.90375,0.113102
2.905,0.111767
2.90625,0.112435
2.9075,0.113436
2.90875,0.112435
2.91,0.111099
2.91125,0.112101
2.9125,0.112768
2.91375,0.115773
2.915,0.115773
2.91625,0.114771
2.9175,0.114437
2.91875,0.114437
2.92,0.115439
2.92125,0.117442
2.9225,0.115439
2.92375,0.113436
2.925,0.112435
2.92625,0.113436
2.9275,0.114104
2.92875,0.113436
2.93,0.111767
2.93125,0.112101
2.9325,0.112768
2.93375,0.115439
2.935,0.115773
2.93625,0.114771
2.9375,0.114437
2.93875,0.114437
2.94,0.115439
2.94125,0.117442
2.9425,0.115439
2.94375,0.115773
2.945,0.112435
2.94625,0.111433
2.9475,0.10676
2.94875,0.111433
2.95,0.138137
2.95125,0.126788
2.9525,0.120446
2.95375,0.115105
2.955,0.234271
2.95625,0.112435
2.9575,0.111099
2.95875,0.125119
2.96,0.13313
2.96125,0.239946
2.9625,0.128791
2.96375,0.246956
2.965,0.13046
2.96625,0.132796
2.9675,0.133464
2.96875,0.132796
2.97,0.131127
2.97125,0.131127
2.9725,0.132129
2.97375,0.134799
2.975,0.135133
2.97625,0.134799
2.9775,0.134465
2.97875,0.134132
2.98,0.134799
2.98125,0.136134
2.9825,0.135467
2.98375,0.133464
2.985,0.132129
2.98625,0.13313
2.9875,0.186538
2.98875,0.428542
2.99,0.145814
2.99125,0.125453
2.9925,0.127122
2.99375,0.0823926
2.995,0.0596943
2.99625,0.00361604
2.9975,0.00361604
2.99875,0.00328224
3,0.00461744
3.00125,0.00662023
3.0025,0.00461744
3.00375,0.00261464
3.005,0.00161325
3.00625,0.00261464
3.0075,0.00328224
3.00875,0.00261464
3.01,0.000945647
3.01125,0.00127945
3.0125,0.00194704
3.01375,0.00394984
3.015,0.00461744
3.01625,0.00361604
3.0175,0.00361604
3.01875,0.00328224
3.02,0.00461744
3.02125,0.00662023
3.0225,0.00461744
3.02375,0.00261464
3.025,0.00161325
3.02625,0.00228084
3.0275,0.00328224
3.02875,0.00261464
3.03,0.000945647
3.03125,0.000945647
3.0325,0.00194704
3.03375,0.00394984
3.035,0.00461744
3.03625,0.00361604
3.0375,0.00361604
3.03875,0.00328224
3.04,0.00428364
3.04125,0.00628643
3.0425,0.00461744
3.04375,0.00261464
3.045,0.00161325
3.04625,0.00228084
3.0475,0.00328224
3.04875,0.00294844
3.05,0.000945647
3.05125,0.000945647
3.0525,0.00194704
3.05375,0.00394984
3.055,0.00461744
3.05625,0.00361604
3.0575,0.00361604
3.05875,0.00328224
3.06,0.00428364
3.06125,0.00628643
3.0625,0.00461744
3.06375,0.00261464
3.065,0.00161325
3.06625,0.00228084
3.0675,0.00328224
3.06875,0.00294844
3.07,0.000945647
3.07125,0.000945647
3.0725,0.00194704
3.07375,0.00394984
3.075,0.00461744
3.07625,0.00394984
3.0775,0.00361604
3.07875,0.00328224
3.08,0.00428364
3.08125,0.00628643
3.0825,0.00461744
3.08375,0.00261464
3.085,0.00161325
3.08625,0.00228084
3.0875,0.00328224
3.08875,0.00294844
3.09,0.000945647
3.09125,0.000945647
3.0925,0.00161325
3.09375,0.00394984
3.095,0.00461744
3.09625,0.00361604
3.0975,0.00361604
3.09875,0.00328224
3.1,0.00428364
3.10125,0.00628643
3.1025,0.00461744
3.10375,0.00261464
3.105,0.00161325
3.10625,0.00228084
3.1075,0.00328224
3.10875,0.00294844
3.11,0.000945647
3.11125,0.000945647
3.1125,0.00161325
3.11375,0.00394984
3.115,0.00461744
3.11625,0.00394984
3.1175,0.00361604
3.11875,0.00328224
3.12,0.00428364
3.12125,0.00628643
3.1225,0.00461744
3.12375,0.00261464
3.125,0.00161325
3.12625,0.00228084
3.1275,0.00328224
3.12875,0.00294844
3.13,0.000945647
3.13125,0.000945647
3.1325,0.00194704
3.13375,0.00394984
3.135,0.00461744
3.13625,0.00394984
3.1375,0.00361604
3.13875,0.00328224
3.14,0.00428364
3.14125,0.00628643
3.1425,0.00495124
3.14375,0.00294844
3.145,0.00194704
3.14625,0.00228084
3.1475,0.00328224
3.14875,0.00294844
3.15,0.000945647
3.15125,0.000945647
3.1525,0.00194704
3.15375,0.00361604
3.155,0.00461744
3.15625,0.00394984
3.1575,0.00361604
3.15875,0.00328224
3.16,0.00428364
3.16125,0.00628643
3.1625,0.00495124
3.16375,0.00294844
3.165,0.00194704
3.16625,0.00228084
3.1675,0.00328224
3.16875,0.00294844
3.17,0.000945647
