#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A4216E,,,
#Date Time: 2020-04-30 20:02:49.283,,,
#Sample rate: 800Hz,,,
#Samples: 4922,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 20 mV/div Offset: 0 V,,,
,,,
Time (s),Channel 1 (V),,
-3.79625,0.0060857,-0.0019143,-0.0019143
-3.795,0.0067533,-0.0012467,-0.0012467
-3.79375,0.0074209,-0.0005791,-0.0005791
-3.7925,0.00842229,0.00042229,0.00042229
-3.79125,0.00842229,0.00042229,0.00042229
-3.79,0.00842229,0.00042229,0.00042229
-3.78875,0.00808849,8.85E-05,8.85E-05
-3.7875,0.00908989,0.00108989,0.00108989
-3.78625,0.0107589,0.0027589,0.0027589
-3.785,0.0104251,0.0024251,0.0024251
-3.78375,0.00842229,0.00042229,0.00042229
-3.7825,0.0070871,-0.0009129,-0.0009129
-3.78125,0.0067533,-0.0012467,-0.0012467
-3.78,0.00842229,0.00042229,0.00042229
-3.77875,0.00808849,8.85E-05,8.85E-05
-3.7775,0.0064195,-0.0015805,-0.0015805
-3.77625,0.0057519,-0.0022481,-0.0022481
-3.775,0.0067533,-0.0012467,-0.0012467
-3.77375,0.0074209,-0.0005791,-0.0005791
-3.7725,0.00842229,0.00042229,0.00042229
-3.77125,0.00842229,0.00042229,0.00042229
-3.77,0.00842229,0.00042229,0.00042229
-3.76875,0.00808849,8.85E-05,8.85E-05
-3.7675,0.00908989,0.00108989,0.00108989
-3.76625,0.0110927,0.0030927,0.0030927
-3.765,0.0100913,0.0020913,0.0020913
-3.76375,0.00842229,0.00042229,0.00042229
-3.7625,0.0070871,-0.0009129,-0.0009129
-3.76125,0.0067533,-0.0012467,-0.0012467
-3.76,0.00842229,0.00042229,0.00042229
-3.75875,0.00808849,8.85E-05,8.85E-05
-3.7575,0.0064195,-0.0015805,-0.0015805
-3.75625,0.0057519,-0.0022481,-0.0022481
-3.755,0.0064195,-0.0015805,-0.0015805
-3.75375,0.0074209,-0.0005791,-0.0005791
-3.7525,0.00842229,0.00042229,0.00042229
-3.75125,0.00842229,0.00042229,0.00042229
-3.75,0.00842229,0.00042229,0.00042229
-3.74875,0.00808849,8.85E-05,8.85E-05
-3.7475,0.00908989,0.00108989,0.00108989
-3.74625,0.0110927,0.0030927,0.0030927
-3.745,0.0104251,0.0024251,0.0024251
-3.74375,0.00842229,0.00042229,0.00042229
-3.7425,0.0074209,-0.0005791,-0.0005791
-3.74125,0.0067533,-0.0012467,-0.0012467
